"","ACARA SML ID","NAPLAN"
"1",43133,514.91273344247
"2",42873,510.929009153272
"3",42805,523.62432107562
"4",42862,507.767647947051
"5",40877,530.116512785278
"6",42872,513.091393235176
"7",42894,520.166231071675
"8",53157,525.883004236434
"9",42744,541.666909980549
"10",42748,525.024266827733
"11",42787,519.106856219123
"12",42817,519.549244132147
"13",42735,508.010595258914
"14",42760,531.425725029969
"15",43131,547.606055427092
"16",42754,523.224977627967
"17",42847,522.186894377357
"18",42715,518.410306183776
"19",42741,531.958933045797
"20",42795,520.479993847666
"21",42727,515.683081768823
"22",53267,535.032366675845
"23",42722,498.227199379357
"24",42888,525.040074844248
"25",43128,500.03586839952
"26",42723,501.970915193255
"27",42819,525.321893012366
"28",43130,512.010166890211
"29",43739,545.70531490784
"30",43817,513.655659097897
"31",42724,528.235307481637
"32",42747,519.759544908703
"33",42749,521.041459683893
"34",42804,517.15894011558
"35",42816,522.078321122337
"36",42825,518.758806637773
"37",42832,500.879833184829
"38",42834,518.797157988734
"39",42891,515.71703526066
"40",42761,523.268962290793
"41",42733,508.332344332678
"42",42790,514.562890871963
"43",42786,515.915408781833
"44",42800,537.061817554257
"45",42791,517.629230123509
"46",43143,526.297357332967
"47",42726,502.358210226146
"48",42796,511.41326830858
"49",42822,506.848110084152
"50",42768,512.558429170822
"51",42769,518.298168113638
"52",42770,508.483618919121
"53",42771,517.699751178104
"54",42838,505.954844827854
"55",42876,520.048107991474
"56",42879,509.091721906
"57",43138,521.717771933928
"58",43139,513.300786703073
"59",43905,520.180889336611
"60",42731,541.953574879218
"61",42732,521.473252887848
"62",42740,536.797581882267
"63",42751,521.732476619204
"64",42756,530.000333457441
"65",42784,531.746388037896
"66",42785,517.193341498745
"67",42815,508.976475665536
"68",42818,511.220476336731
"69",42823,510.713363508973
"70",42829,508.152495189373
"71",43136,524.178159832884
"72",42835,515.233649252453
"73",42880,551.751584620814
"74",43149,521.318637324009
"75",40560,531.877571414091
"76",42545,505.030046059677
"77",42737,519.166567693309
"78",42758,527.711432254141
"79",42772,515.901614491869
"80",42773,512.910826743882
"81",42813,522.826888505261
"82",42828,540.736041733878
"83",53172,527.979696539449
"84",42653,527.315424060007
"85",42660,497.93436809928
"86",43150,512.834348408276
"87",42551,514.066418914845
"88",42597,505.073027636686
"89",42605,517.61742873595
"90",42610,514.372005175163
"91",42611,525.005724748068
"92",42645,520.878246398729
"93",43001,514.986653137497
"94",43132,513.226140217341
"95",43144,498.853263285562
"96",41856,513.024538720244
"97",42060,528.894713853452
"98",41889,505.832315227565
"99",41957,526.390833026491
"100",43993,539.770230684184
"101",41918,523.715950732399
"102",41955,521.970827463957
"103",41965,516.353604437247
"104",42016,509.329441219909
"105",41892,543.36264729052
"106",41893,498.040211683865
"107",41903,530.06467061207
"108",41899,508.805933815656
"109",42031,513.469122766241
"110",42044,513.510420454566
"111",43241,529.072459201848
"112",42064,519.324896791524
"113",41915,510.782226549129
"114",43243,512.766443087144
"115",41923,520.905530987524
"116",41946,522.643233395058
"117",42047,515.751724880103
"118",42014,510.479498687613
"119",41871,508.973680222635
"120",41972,505.468226972308
"121",43255,522.651512669262
"122",41894,531.031047867461
"123",42009,511.174668100613
"124",42056,505.992276718876
"125",42037,516.450039624617
"126",42088,507.716225423448
